Task,Recipient,Deadline,Time,Status,Recurrence,AddedAt
hey sara good morning ,info@skdrealestate.ae,2026-04-13,01:55 PM,Sent,One-Time,1775814040.6503043
Follow up Jade Residence Owner For Rent the property ,info@skdrealestate.ae,2026-04-20,05:41 PM,Sent,One-Time,1776173217.1798935
Azizi Aura 911  | Remind tenant to apply for Ejari ,info@skdrealestate.ae,2026-06-01,10.00 AM,Active,One-Time,1776240521.527104
follow up Ritesh Das for 1br 914 unit in oasiz by danube. ask him for listing ,info@skdrealestate.ae,2026-04-23,10.00 AM,Sent,One-Time,1776329689.3919191
"After 3 weeks Gargash 27,500 aed cheque will be upcoming ",info@skdrealestate.ae,2026-05-25,01:02 PM,Active,One-Time,1776934029.134309
"After one week Gargash 27,500 AED Cheque is gonna Withdraw. Due Date - 15/06/2026 , Cheque no: 000012 . FINAL REMINDER ",info@skdrealestate.ae,2026-06-08,01:06 PM,Active,One-Time,1776934295.2910488
"After 3 weeks Gargash 27,500 AED cheque will be withdraw. cheque No: 000013 ",info@skdrealestate.ae,2026-08-25,01:14 PM,Active,One-Time,1776934758.4117577
"After 1 weeks Gargash 27,500 AED cheque will be withdraw. cheque No: 000013 , FINAL REMINDER",info@skdrealestate.ae,2026-09-07,10.00 AM,Active,One-Time,1776934838.6387572
"After 3 weeks Gargash 27,500 AED cheque will be withdraw. cheque No: 000014",info@skdrealestate.ae,2026-12-01,01:17 PM,Active,One-Time,1776934926.611883
"After 1 week Gargash 27,500 AED cheque will be withdraw. cheque No: 000014, FINAL REMINDER ",info@skdrealestate.ae,2026-12-08,01:18 PM,Active,One-Time,1776934994.797465
